NUme, Prenume,Varsta
Turcu,Ciprian7
Turcu,Ciprian39
Turcu,Ciprian21
Turcu,Ciprian39
Turcu,Ciprian45
Turcu,Ciprian28
Turcu,Ciprian22
Turcu,Ciprian12
Turcu,Ciprian50
Turcu,Ciprian8
Turcu,Ciprian12
Turcu,Ciprian6
Turcu,Ciprian40
Turcu,Ciprian7
Turcu,Ciprian15
Turcu,Ciprian14
Turcu,Ciprian38
Turcu,Ciprian12
Turcu,Ciprian12
Turcu,Ciprian47
Turcu,Ciprian25
Turcu,Ciprian40
Turcu,Ciprian35
Turcu,Ciprian37
Turcu,Ciprian16
Turcu,Ciprian0
Turcu,Ciprian29
Turcu,Ciprian45
Turcu,Ciprian24
Turcu,Ciprian40
Turcu,Ciprian6
Turcu,Ciprian5
Turcu,Ciprian48
Turcu,Ciprian35
Turcu,Ciprian49
Turcu,Ciprian16
Turcu,Ciprian28
Turcu,Ciprian19
Turcu,Ciprian2
Turcu,Ciprian0
Turcu,Ciprian31
Turcu,Ciprian0
Turcu,Ciprian25
Turcu,Ciprian41
Turcu,Ciprian25
Turcu,Ciprian42
Turcu,Ciprian39
Turcu,Ciprian5
Turcu,Ciprian21
Turcu,Ciprian41
Turcu,Ciprian34
